id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
25	Credit | 4 000C	Credit | 4 000C 	https://www.gamestoreml.store/es/item/credit-4-000c/9c9a8233-9f35-4d9c-a420-aa3555069f1d.html	15.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/9c9a8233-9f35-4d9c-a420-aa3555069f1d/ae92fdd2-2207-47ec-b12c-43e6b1eec36b/640x640.webp	00679628201795		Credit | 4 000C	merge
26	Octane | Titanium White	Octane | Titanium White 	https://www.gamestoreml.store/es/item/octane-titanium-white/5a8d5e17-3c33-4770-bb75-8ad62a990eae.html	24.89 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/5a8d5e17-3c33-4770-bb75-8ad62a990eae/52aeb643-306e-48b8-8743-7d773d500161/640x640.webp	00679628201801		Octane | Titanium White	merge
27	Fennec | Titanium White	Fennec | Titanium White 	https://www.gamestoreml.store/es/item/fennec-titanium-white/8015553a-4c8a-4fee-89b8-0fd250b7730a.html	6.89 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/8015553a-4c8a-4fee-89b8-0fd250b7730a/f7bcfab7-3385-4e36-b525-a61bf116fc99/640x640.webp	00679628201818		Fennec | Titanium White	merge
28	Octane | Forest Green	Octane | Forest Green 	https://www.gamestoreml.store/es/item/octane-forest-green/6710e706-b9a6-4eba-a2ee-bd05a062f617.html	1.75 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/6710e706-b9a6-4eba-a2ee-bd05a062f617/64032ade-28ee-4ca2-9614-a26e32db8dd3/640x640.webp	00679628201825		Octane | Forest Green	merge
29	Credit | 6 000C	Credit | 6 000C 	https://www.gamestoreml.store/es/item/credit-6-000c/e1b78dfe-b8ef-43d2-a2ab-6a7d09192c1f.html	23.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/e1b78dfe-b8ef-43d2-a2ab-6a7d09192c1f/230a16d8-04b8-4e1a-940a-360764ce21b7/640x640.webp	00679628201832		Credit | 6 000C	merge
30	Octane | Saffron	Octane | Saffron 	https://www.gamestoreml.store/es/item/octane-saffron/9dade7fe-3dee-404e-b09b-d91f598b301a.html	2.00 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/9dade7fe-3dee-404e-b09b-d91f598b301a/51e3400b-952f-40a9-8cdb-3ac29315d3c8/640x640.webp	00679628201849		Octane | Saffron	merge
31	Credit | 3 500C	Credit | 3 500C 	https://www.gamestoreml.store/es/item/credit-3-500c/ae19c625-2ef5-4961-a6a7-f76368a9a068.html	13.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/ae19c625-2ef5-4961-a6a7-f76368a9a068/541f41d5-5fae-4fa2-9dd1-b725f14f3073/640x640.webp	00679628201863		Credit | 3 500C	merge
32	Credit | 2 500C	Credit | 2 500C 	https://www.gamestoreml.store/es/item/credit-2-500c/b9e40ce4-9068-4667-834d-77e256dd1a97.html	9.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/b9e40ce4-9068-4667-834d-77e256dd1a97/5773ecc2-e733-49f5-8187-7cfabdb6093c/640x640.webp	00679628201870		Credit | 2 500C	merge
33	Credit | 2 500C	Credit | 2 500C 	https://www.gamestoreml.store/es/item/credit-2-500c/9f785b2d-87c5-465f-8550-48f3334115fd.html	9.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/9f785b2d-87c5-465f-8550-48f3334115fd/febb635a-e4f7-46f6-9202-53745ca7dfeb/640x640.webp	00679628201887		Credit | 2 500C	merge
34	Credit | 2 000C	Credit | 2 000C 	https://www.gamestoreml.store/es/item/credit-2-000c/e554354e-0e1c-4487-9821-88e2ce9fd8cd.html	7.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/e554354e-0e1c-4487-9821-88e2ce9fd8cd/b9b92210-66b2-422a-9792-9ccf178559a2/640x640.webp	00679628201894		Credit | 2 000C	merge
35	$5.00 Nintendo eShop (Instant Delivery)	$5.00 Nintendo eShop (Instant Delivery) 	https://www.gamestoreml.store/es/item/-5-00-nintendo-eshop-instant-delivery-/f4d6e4dc-6a69-4659-9dda-b47fb157e597.html	5.00 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:18a1361e-1205-486d-87f0-c4a7436778ca/f4d6e4dc-6a69-4659-9dda-b47fb157e597/4fff77fb-0f3d-4cef-b860-183b9e8b7697/640x640.webp	00679628201900		$5.00 Nintendo eShop (Instant Delivery)	merge
